lat,lon,ele
44.343230,-82.065057,36.300503
-21.938132,-0.403137,-16.975059
-45.926009,11.257515,-26.257515
-82.893512,123.183083,34.019496
82.991461,17.612808,-26.400964
-15.022207,41.995297,20.987199
-27.812771,110.613311,36.969801
64.174804,126.631562,13.037239
59.275079,-118.291078,18.433843
-24.364557,161.332956,-48.815417
-69.927581,-54.673476,-0.636628
46.252069,11.806222,-48.649071
21.271327,-157.619018,-10.959345
-80.898799,-174.536589,51.202402
51.747346,133.131384,-18.164579
42.726743,130.572108,-24.687335
-13.046059,-22.031352,3.031352
-30.063081,-0.166408,-20.833592
-78.798092,-3.699364,4.394276
-14.675049,143.460499,-63.206710
75.307292,-57.910437,-21.424377
-61.996717,-157.154539,39.990658
-62.204024,87.784804,-10.430392
-69.260514,-57.050054,-6.218458
56.126066,47.797790,-5.328276
-79.594015,1.430655,6.188030
-33.925509,9.824202,-23.837297
-18.004201,-128.521027,10.521027
-9.414146,11.437254,-12.935859
32.198323,-16.861377,-42.194654
-19.440260,84.064471,47.743691
-77.173591,157.835615,52.990794
-43.076352,-118.841501,11.777251
-38.303684,113.550379,35.696316
46.526787,3.723440,-48.946426
0.460087,41.039809,29.641024
-26.210797,37.123993,-9.714825
11.999936,-75.889901,10.660488
-41.240720,-36.518147,3.518147
-34.929116,67.488862,-17.915160
79.174441,-133.868528,3.651118
67.823451,-151.018468,-8.161342
29.439136,-89.190867,26.233591
42.814867,-148.115248,19.069885
-9.991921,100.843056,23.611618
-71.603172,155.985281,57.000000
49.948399,170.934553,-1.952114
-69.909731,-0.198111,-13.531082
89.716910,5.006819,-14.283090
-77.001691,53.757569,-10.998309
-7.060394,174.286018,-36.548752
13.379311,-71.774760,25.962433
5.773169,-171.824332,-12.226831
46.360983,28.263456,-31.531760
-4.282841,-120.462159,17.102877
-88.100855,-124.391496,30.100855
-55.036139,-2.807790,-26.927722
26.876698,119.549310,-10.771232
-3.138283,-64.603421,-0.580570
70.519798,-141.733410,3.825984
64.813468,-31.032080,-57.935840
81.482053,64.112540,-11.851566
42.784989,62.813012,32.134602
77.619334,75.771964,2.380666
56.269997,152.267774,-17.657705
-86.579017,63.842574,18.382950
-29.933961,-70.437190,-35.230664
-49.948871,-144.256815,16.743185
-16.905147,75.520532,44.949318
-63.936296,83.001769,-15.125639
-89.823721,94.792380,29.823721
32.954895,3.786045,-36.471095
55.503651,35.151700,-15.848300
-0.698275,-12.681737,-19.222235
79.952142,80.265421,-1.904284
42.230261,-11.357861,-52.119604
-41.690233,-25.664908,-13.335092
-70.732404,-129.559223,44.291627
-52.763821,40.035895,-47.044373
-25.825313,-5.386983,-15.932399
6.755657,153.556531,-51.158907
-5.021471,20.207927,10.329970
-58.213381,114.632281,17.845662
13.310433,-177.733578,-10.689567
83.958648,-83.992294,-16.041352
70.474222,45.185118,-7.289104
58.834538,154.695133,-16.050444
-35.477297,-128.363983,11.173728
-65.032558,24.366725,-18.946824
75.557343,60.672589,-0.961891
68.095385,-138.606929,-3.245788
79.056529,135.135409,1.000000
45.658394,86.446402,62.496038
-19.401299,-109.893084,2.042905
74.907848,171.372317,-1.907848
44.085657,-122.209381,21.141659
-21.905228,160.858626,-53.988170
83.042256,-16.087556,-27.915488
-31.256411,-95.252329,3.444040
70.175722,103.457669,14.271310
69.011797,-143.452871,-6.893827
-1.296432,-141.555538,-3.242829
-63.739212,-93.143887,16.776736
56.311315,-67.682330,23.205585
-34.369578,73.668519,-10.070637
-24.799041,124.404046,4.589031
68.662704,147.980907,-3.318203
76.102846,159.515534,-2.565359
-41.268802,-66.138319,-16.516096
-23.654064,103.373806,39.150945
-53.701350,114.907147,17.907147
13.656952,-105.530763,21.900555
49.167152,-53.992916,-9.354372
-25.167258,-23.633285,-0.701231
52.719496,-79.634961,44.354457
-68.097466,162.946596,55.189727
70.548806,57.572743,1.765519
-15.321357,-154.701392,-6.000000
37.972335,-99.214045,27.049408
6.954323,169.101280,-26.949023
9.383286,-70.323222,8.923511
10.506104,124.428466,-64.132233
28.294127,-13.179256,-40.135445
88.958404,-68.280753,-16.083192
15.459109,124.334415,-42.721508
-46.511239,164.635352,6.347295
48.594556,-28.690884,-64.029001
-70.556359,-101.712860,26.043783
82.635164,-77.214303,-18.651487
75.362958,146.428488,-1.155523
-17.825555,43.111661,14.033386
54.265005,2.082691,-42.856532
-71.670733,94.885316,-0.493912
-50.827732,95.572429,-5.328960
13.449770,-46.886645,32.760395
14.207726,41.049726,6.089123
-48.354881,123.249487,24.645119
43.391987,100.192256,52.415757
12.541020,9.359130,-20.805703
-9.582437,-26.426563,6.760554
65.576770,67.029895,10.465777
-78.261335,124.365238,40.103903
78.432202,114.289055,2.432202
-53.580823,95.658656,-6.065251
81.683357,11.402375,-31.000000
-66.071218,-2.558637,-10.960215
-20.777029,104.657201,35.685598
-10.077062,-65.462391,-19.618359
45.565865,84.338293,55.730410
-44.515320,-35.172531,2.172531
12.510704,-0.384598,-24.895302
82.222881,-168.545915,-4.222881
-55.250071,-22.334054,-20.415875
-23.704885,-64.693268,-30.819592
-41.724659,-23.489264,-17.021472
0.429426,91.406246,55.794317
-66.915559,128.165937,36.081496
26.123778,-88.179492,26.000000
36.446412,133.327846,-32.253530
-75.786160,78.915911,-5.427680
-84.028270,-25.700318,18.000000
-65.990675,65.309454,-25.015764
-47.369051,134.407089,20.000000
37.805635,15.217709,-40.680909
65.077342,-119.904547,16.260865
-54.593096,-134.019484,17.992072
48.979875,-93.749443,31.215349
-72.823259,-106.227176,29.414201
-54.282992,141.303230,21.065574
48.258607,-123.262251,19.987327
17.361992,100.605232,34.798161
-8.808174,-90.192782,10.192782
31.114765,75.813288,47.439902
-17.554947,-113.715537,2.318452
56.931890,19.372838,-24.347828
