No,Latitude,Longitude,Name,Date,Time
1,0,0,Point00,2023/01/01,00:00:00.00
2,0,0.000008983,,2023/01/01,00:00:00.10
3,0,0.000017966,,2023/01/01,00:00:00.20
4,0,0.000026949,,2023/01/01,00:00:00.30
5,0,0.000035933,,2023/01/01,00:00:00.40
6,0,0.000044916,,2023/01/01,00:00:00.50
7,0,0.000053899,,2023/01/01,00:00:00.60
8,0,0.000062882,,2023/01/01,00:00:00.70
9,0,0.000071865,,2023/01/01,00:00:00.80
10,0,0.000080848,,2023/01/01,00:00:00.90
11,0,0.000089832,Point01,2023/01/01,00:00:01.00
12,0,0.000098815,,2023/01/01,00:00:01.10
13,0,0.000107798,,2023/01/01,00:00:01.20
14,0,0.000116781,,2023/01/01,00:00:01.30
15,0,0.000125764,,2023/01/01,00:00:01.40
16,0,0.000134747,,2023/01/01,00:00:01.50
17,0,0.00014373,,2023/01/01,00:00:01.60
18,0,0.000152714,,2023/01/01,00:00:01.70
19,0,0.000161697,,2023/01/01,00:00:01.80
20,0,0.00017068,,2023/01/01,00:00:01.90
21,0,0.000179663,Point02,2023/01/01,00:00:02.00
22,0,0.000188646,,2023/01/01,00:00:02.10
23,0,0.000197629,,2023/01/01,00:00:02.20
24,0,0.000206612,,2023/01/01,00:00:02.30
25,0,0.000215596,,2023/01/01,00:00:02.40
26,0,0.000224579,,2023/01/01,00:00:02.50
27,0,0.000233562,,2023/01/01,00:00:02.60
28,0,0.000242545,,2023/01/01,00:00:02.70
29,0,0.000251528,,2023/01/01,00:00:02.80
30,0,0.000260511,,2023/01/01,00:00:02.90
31,0,0.000269495,Point03,2023/01/01,00:00:03.00
32,0,0.000278478,,2023/01/01,00:00:03.10
33,0,0.000287461,,2023/01/01,00:00:03.20
34,0,0.000296444,,2023/01/01,00:00:03.30
35,0,0.000305427,,2023/01/01,00:00:03.40
36,0,0.00031441,,2023/01/01,00:00:03.50
37,0,0.000323393,,2023/01/01,00:00:03.60
38,0,0.000332377,,2023/01/01,00:00:03.70
39,0,0.00034136,,2023/01/01,00:00:03.80
40,0,0.000350343,,2023/01/01,00:00:03.90
41,0,0.000359326,Point04,2023/01/01,00:00:04.00
42,0,0.000368309,,2023/01/01,00:00:04.10
43,0,0.000377292,,2023/01/01,00:00:04.20
44,0,0.000386276,,2023/01/01,00:00:04.30
45,0,0.000395259,,2023/01/01,00:00:04.40
46,0,0.000404242,,2023/01/01,00:00:04.50
47,0,0.000413225,,2023/01/01,00:00:04.60
48,0,0.000422208,,2023/01/01,00:00:04.70
49,0,0.000431191,,2023/01/01,00:00:04.80
50,0,0.000440174,,2023/01/01,00:00:04.90
51,0,0.000449158,Point05,2023/01/01,00:00:05.00
52,0,0.000458141,,2023/01/01,00:00:05.10
53,0,0.000467124,,2023/01/01,00:00:05.20
54,0,0.000476107,,2023/01/01,00:00:05.30
55,0,0.00048509,,2023/01/01,00:00:05.40
56,0,0.000494073,,2023/01/01,00:00:05.50
57,0,0.000503057,,2023/01/01,00:00:05.60
58,0,0.00051204,,2023/01/01,00:00:05.70
59,0,0.000521023,,2023/01/01,00:00:05.80
60,0,0.000530006,,2023/01/01,00:00:05.90
61,0,0.000538989,Point06,2023/01/01,00:00:06.00
62,0.000008983,0.000538989,,2023/01/01,00:00:06.10
63,0.000017966,0.000538989,,2023/01/01,00:00:06.20
64,0.000026949,0.000538989,,2023/01/01,00:00:06.30
65,0.000035933,0.000538989,,2023/01/01,00:00:06.40
66,0.000044916,0.000538989,,2023/01/01,00:00:06.50
67,0.000053899,0.000538989,,2023/01/01,00:00:06.60
68,0.000062882,0.000538989,,2023/01/01,00:00:06.70
69,0.000071865,0.000538989,,2023/01/01,00:00:06.80
70,0.000080848,0.000538989,,2023/01/01,00:00:06.90
71,0.000089832,0.000538989,Point07,2023/01/01,00:00:07.00
72,0.000098815,0.000538989,,2023/01/01,00:00:07.10
73,0.000107798,0.000538989,,2023/01/01,00:00:07.20
74,0.000116781,0.000538989,,2023/01/01,00:00:07.30
75,0.000125764,0.000538989,,2023/01/01,00:00:07.40
76,0.000134747,0.000538989,,2023/01/01,00:00:07.50
77,0.00014373,0.000538989,,2023/01/01,00:00:07.60
78,0.000152714,0.000538989,,2023/01/01,00:00:07.70
79,0.000161697,0.000538989,,2023/01/01,00:00:07.80
80,0.00017068,0.000538989,,2023/01/01,00:00:07.90
81,0.000179663,0.000538989,Point08,2023/01/01,00:00:08.00
82,0.000188646,0.000538989,,2023/01/01,00:00:08.10
83,0.000197629,0.000538989,,2023/01/01,00:00:08.20
84,0.000206612,0.000538989,,2023/01/01,00:00:08.30
