# Latitude, Longitude and UTM coordinates are in WGS84 datum
#
# Every set of data contains the following:
#
# Waypoint name
# Waypoint comment
# Waypoint description
# Latitude in Degree and decimals (soutern hemisphere has neg. degrees)
# Longitude in degree and decimals (neg. numbers: west of Greenwich)
# Height in meters [optional when importing, always present when exporting: Date (GMT) as ISO YYYYMMDD, Time of the day relative to the date as HHMMSS
RPT001,RPT001,,30.0621833,-91.6103500,1.0    ,20020525,170621
RPT002,RPT002,,30.0627833,-91.6105667,0.0    ,20020525,170955
RPT003,RPT003,,30.0627000,-91.6082667,0.0    ,20020525,171200
RPT004,RPT004,,30.0623333,-91.6073833,0.0    ,20020525,171248
RPT005,RPT005,,30.0615333,-91.6052833,0.0    ,20020525,171441
RPT006,RPT006,,30.0597833,-91.5994000,0.0    ,20020525,171716
RPT007,RPT007,,30.0578000,-91.5966833,0.0    ,20020525,171746
RPT008,RPT008,,30.0553833,-91.5949000,0.0    ,20020525,171820
RPT009,RPT009,,30.0538833,-91.5926167,0.0    ,20020525,171901
RPT010,RPT010,,30.0497333,-91.5897500,0.0    ,20020525,172046
RPT011,RPT011,,30.0490167,-91.5898833,0.0    ,20020525,172110
RPT012,RPT012,,30.0488000,-91.5929333,0.0    ,20020525,172151
RPT013,RPT013,,30.0462333,-91.5964500,0.0    ,20020525,172235
RPT014,RPT014,,30.0455167,-91.5987167,0.0    ,20020525,172308
RPT015,RPT015,,30.0473000,-91.6002667,0.0    ,20020525,180423
RPT016,RPT016,,30.0470000,-91.5996333,2.0    ,20020525,180604
RPT017,RPT017,,30.0464333,-91.5994667,0.0    ,20020525,180706
RPT018,RPT018,,30.0462000,-91.5989500,1.0    ,20020525,180818
RPT019,RPT019,,30.0463667,-91.5977333,0.0    ,20020525,181020
RPT020,RPT020,,30.0463500,-91.5971667,0.0    ,20020525,181109
RPT021,RPT021,,30.0467833,-91.5963333,0.0    ,20020525,181218
RPT022,RPT022,,30.0474500,-91.5952000,0.0    ,20020525,181422
RPT023,RPT023,,30.0478000,-91.5947667,2.0    ,20020525,181504
RPT024,RPT024,,30.0482500,-91.5940833,1.0    ,20020525,181614
RPT025,RPT025,,30.0486833,-91.5938000,1.0    ,20020525,181701
RPT026,RPT026,,30.0493500,-91.5938500,0.0    ,20020525,181807
RPT027,RPT027,,30.0503167,-91.5939833,2.0    ,20020525,181951
RPT028,RPT028,,30.0507833,-91.5941167,0.0    ,20020525,182039
RPT029,RPT029,,30.0512333,-91.5943667,0.0    ,20020525,182124
RPT030,RPT030,,30.0518000,-91.5943667,0.0    ,20020525,182217
RPT031,RPT031,,30.0522167,-91.5946667,0.0    ,20020525,182318
RPT032,RPT032,,30.0530167,-91.5946833,0.0    ,20020525,182437
RPT033,RPT033,,30.0548667,-91.5952000,6.0    ,20020525,182813
RPT034,RPT034,,30.0537333,-91.5949333,2.0    ,20020525,183136
RPT035,RPT035,,30.0531833,-91.5947833,0.0    ,20020525,183256
RPT036,RPT036,,30.0526333,-91.5948333,0.0    ,20020525,183402
RPT037,RPT037,,30.0524500,-91.5954333,0.0    ,20020525,183603
RPT038,RPT038,,30.0524833,-91.5959667,0.0    ,20020525,183648
RPT039,RPT039,,30.0526500,-91.5967833,1.0    ,20020525,183752
RPT040,RPT040,,30.0531333,-91.5978500,0.0    ,20020525,183918
RPT041,RPT041,,30.0536167,-91.5979667,0.0    ,20020525,184015
RPT042,RPT042,,30.0539667,-91.5977667,6.0    ,20020525,184125
RPT043,RPT043,,30.0536167,-91.5980833,0.0    ,20020525,184237
RPT044,RPT044,,30.0532000,-91.5979167,0.0    ,20020525,184401
RPT045,RPT045,,30.0528167,-91.5975167,0.0    ,20020525,184553
RPT046,RPT046,,30.0525667,-91.5969333,0.0    ,20020525,184654
RPT047,RPT047,,30.0523333,-91.5964333,0.0    ,20020525,184742
RPT048,RPT048,,30.0522500,-91.5956833,0.0    ,20020525,184841
RPT049,RPT049,,30.0522167,-91.5950167,0.0    ,20020525,184952
RPT050,RPT050,,30.0518833,-91.5947000,0.0    ,20020525,185049
RPT051,RPT051,,30.0510500,-91.5944000,0.0    ,20020525,185214
RPT052,RPT052,,30.0505667,-91.5942333,0.0    ,20020525,185256
RPT053,RPT053,,30.0501833,-91.5941000,0.0    ,20020525,185338
RPT054,RPT054,,30.0491000,-91.5937167,0.0    ,20020525,185511
RPT055,RPT055,,30.0484500,-91.5942500,0.0    ,20020525,185632
RPT056,RPT056,,30.0480833,-91.5947500,0.0    ,20020525,185724
RPT057,RPT057,,30.0475000,-91.5954500,7.0    ,20020525,185840
RPT058,RPT058,,30.0470667,-91.5960000,0.0    ,20020525,185928
RPT059,RPT059,,30.0466333,-91.5966000,0.0    ,20020525,190022
RPT060,RPT060,,30.0464000,-91.5976500,0.0    ,20020525,190141
RPT061,RPT061,,30.0462333,-91.5984667,0.0    ,20020525,190248
RPT062,RPT062,,30.0463167,-91.5989667,0.0    ,20020525,190343
RPT063,RPT063,,30.0467833,-91.5992833,0.0    ,20020525,190449
RPT064,RPT064,,30.0471333,-91.5996667,0.0    ,20020525,190557
