INDEX,RCR,DATE,TIME,VALID,LATITUDE,N/S,LONGITUDE,E/W,HEIGHT,SPEED,DISTANCE,
1,T,2005/05/01,10:12:47,Unknown,51.311770,N,12.413179,E,146,0.0,0.000000
2,T,2005/05/01,10:13:04,Unknown,51.311807,N,12.412898,E,146,4.2,0.019979
3,T,2005/05/01,10:13:13,Unknown,51.311885,N,12.412773,E,147,4.9,0.032214
4,T,2005/05/01,10:13:57,Unknown,51.312158,N,12.412265,E,142,3.8,0.078821
5,T,2005/05/01,10:14:09,Unknown,51.312235,N,12.412383,E,142,3.6,0.090691
6,T,2005/05/01,10:14:12,Unknown,51.312254,N,12.412417,E,141,3.8,0.093894
7,T,2005/05/01,10:14:18,Unknown,51.312289,N,12.412490,E,142,3.8,0.100304
8,T,2005/05/01,10:15:02,Unknown,51.312633,N,12.412854,E,142,3.8,0.146189
9,T,2005/05/01,10:15:14,Unknown,51.312721,N,12.412819,E,142,3.0,0.156328
10,T,2005/05/01,10:15:26,Unknown,51.312813,N,12.412738,E,143,3.5,0.167963
11,T,2005/05/01,10:15:37,Unknown,51.312811,N,12.412716,E,142,0.5,0.169503
12,T,2005/05/01,10:16:19,Unknown,51.312741,N,12.412754,E,134,0.7,0.177717
13,T,2005/05/01,10:16:32,Unknown,51.312721,N,12.412703,E,136,1.1,0.181862
14,T,2005/05/01,10:16:45,Unknown,51.312764,N,12.412789,E,136,2.1,0.189543
15,T,2005/05/01,10:16:58,Unknown,51.312846,N,12.412965,E,137,4.2,0.204813
16,T,2005/05/01,10:17:10,Unknown,51.312961,N,12.413074,E,139,4.5,0.219683
17,T,2005/05/01,10:17:23,Unknown,51.313048,N,12.413175,E,142,3.3,0.231707
18,T,2005/05/01,10:19:36,Unknown,51.313093,N,12.413024,E,136,0.0,0.000000
19,T,2005/05/01,10:20:39,Unknown,51.312982,N,12.413024,E,148,0.7,0.012335
20,T,2005/05/01,10:20:56,Unknown,51.313009,N,12.413008,E,147,0.7,0.015476
21,T,2005/05/01,10:21:18,Unknown,51.312988,N,12.412968,E,154,0.6,0.019068
22,T,2005/05/01,10:21:26,Unknown,51.313016,N,12.413017,E,151,2.1,0.023676
23,T,2005/05/01,10:22:12,Unknown,51.312980,N,12.413197,E,144,1.0,0.036780
24,T,2005/05/01,10:24:06,Unknown,51.313056,N,12.413118,E,142,0.3,0.046879
25,T,2005/05/01,10:24:40,Unknown,51.312985,N,12.413024,E,134,1.1,0.057151
26,T,2005/05/01,10:24:50,Unknown,51.312896,N,12.412975,E,135,3.8,0.067692
27,T,2005/05/01,10:24:55,Unknown,51.312851,N,12.412962,E,136,3.6,0.072757
28,T,2005/05/01,10:25:00,Unknown,51.312802,N,12.412942,E,135,4.0,0.078361
29,T,2005/05/01,10:40:24,Unknown,51.312498,N,12.413118,E,150,0.0,0.000000
30,T,2005/05/01,10:45:25,Unknown,51.312458,N,12.412885,E,161,0.0,0.000000
31,T,2005/05/01,10:48:46,Unknown,51.312752,N,12.412534,E,161,0.0,0.000000
32,T,2005/05/01,11:02:47,Unknown,51.312957,N,12.413171,E,161,0.0,0.000000
33,T,2005/05/01,11:03:25,Unknown,51.312882,N,12.413239,E,154,0.9,0.009527
34,T,2005/05/01,11:03:39,Unknown,51.312861,N,12.413238,E,148,0.6,0.011888
35,T,2005/05/01,11:04:16,Unknown,51.312823,N,12.413306,E,139,0.6,0.018215
36,T,2005/05/01,11:05:02,Unknown,51.312839,N,12.413275,E,145,0.2,0.020999
37,T,2005/05/01,11:05:45,Unknown,51.312833,N,12.413310,E,134,0.2,0.023516
38,T,2005/05/01,11:06:44,Unknown,51.312787,N,12.413344,E,131,0.3,0.029132
39,T,2005/05/01,11:07:50,Unknown,51.312785,N,12.413334,E,130,0.0,0.029866
40,T,2005/05/01,11:08:19,Unknown,51.312758,N,12.413340,E,132,0.4,0.032902
41,T,2005/05/01,11:11:16,Unknown,51.312818,N,12.413316,E,144,0.1,0.039807
42,T,2005/05/01,11:12:34,Unknown,51.312925,N,12.413445,E,147,0.7,0.054779
43,T,2005/05/01,11:13:18,Unknown,51.312992,N,12.413793,E,145,2.1,0.080088
44,T,2005/05/01,11:13:27,Unknown,51.313043,N,12.413810,E,145,2.3,0.085810
45,T,2005/05/01,11:13:37,Unknown,51.313052,N,12.413842,E,135,0.9,0.088313
46,T,2005/05/01,11:13:46,Unknown,51.313109,N,12.413847,E,135,2.5,0.094573
47,T,2005/05/01,11:14:03,Unknown,51.313214,N,12.413880,E,136,2.5,0.106505
48,T,2005/05/01,11:14:16,Unknown,51.313292,N,12.413966,E,135,2.9,0.117099
