Datum,WGS 84,WGS 84,0,0,0,0,0
TP,D,45.187113,4.6607297,08/23/2005,15:25:12.812,
TP,D,45.1868455,4.660163,08/23/2005,15:25:22.822,
TP,D,45.1863955,4.6599324,08/23/2005,15:25:39.839,
TP,D,45.1859246,4.6598826,08/23/2005,15:25:58.858,
TP,D,45.185478,4.6597676,08/23/2005,15:26:16.816,
TP,D,45.1850178,4.6597388,08/23/2005,15:26:33.833,
TP,D,45.1845797,4.6596044,08/23/2005,15:26:53.853,
TP,D,45.1841254,4.6596267,08/23/2005,15:27:09.89,
TP,D,45.1836672,4.6595521,08/23/2005,15:27:28.828,
TP,D,45.1836814,4.6588984,08/23/2005,15:28:02.82,
TP,D,45.183994,4.6584016,08/23/2005,15:28:15.815,
TP,D,45.1846076,4.657295,08/23/2005,15:28:30.830,
TP,D,45.1850065,4.6558776,08/23/2005,15:28:44.844,
TP,D,45.1845094,4.6552681,08/23/2005,15:28:54.854,
TP,D,45.1839276,4.6546767,08/23/2005,15:29:04.84,
TP,D,45.1834919,4.6543834,08/23/2005,15:29:16.816,
TP,D,45.1835007,4.6537414,08/23/2005,15:29:26.826,
TP,D,45.1833348,4.6531515,08/23/2005,15:29:42.842,
TP,D,45.1830662,4.6526252,08/23/2005,15:29:59.859,
TP,D,45.1830017,4.6519839,08/23/2005,15:30:15.815,
TP,D,45.1829897,4.6513269,08/23/2005,15:30:32.832,
TP,D,45.1829101,4.6506828,08/23/2005,15:30:44.844,
TP,D,45.1825391,4.6502882,08/23/2005,15:30:56.856,
TP,D,45.1821259,4.6499932,08/23/2005,15:31:14.814,
TP,D,45.1817943,4.6495713,08/23/2005,15:31:31.831,
TP,D,45.1816251,4.6489743,08/23/2005,15:31:50.850,
TP,D,45.1815118,4.6483493,08/23/2005,15:32:13.813,
TP,D,45.1812957,4.647775,08/23/2005,15:32:34.834,
TP,D,45.181057,4.6472012,08/23/2005,15:32:56.856,
TP,D,45.1807201,4.6467576,08/23/2005,15:33:15.815,
TP,D,45.1804336,4.6462213,08/23/2005,15:33:32.832,
TP,D,45.180078,4.6458228,08/23/2005,15:33:51.851,
TP,D,45.1796982,4.6454427,08/23/2005,15:34:09.89,
TP,D,45.1793545,4.6450331,08/23/2005,15:34:29.829,
TP,D,45.1788317,4.644899,08/23/2005,15:34:50.850,
TP,D,45.1788737,4.6442499,08/23/2005,15:35:15.815,
TP,D,45.1791315,4.6437253,08/23/2005,15:35:33.833,
TP,D,45.17924,4.6431102,08/23/2005,15:35:55.855,
TP,D,45.179606,4.6427364,08/23/2005,15:36:16.816,
TP,D,45.1797593,4.6421412,08/23/2005,15:36:39.839,
TP,D,45.1798951,4.6415263,08/23/2005,15:37:03.83,
TP,D,45.1799366,4.6408842,08/23/2005,15:37:33.833,
TP,D,45.1796929,4.6403555,08/23/2005,15:38:06.86,
TP,D,45.1797172,4.6397143,08/23/2005,15:38:36.836,
TP,D,45.1795321,4.6391257,08/23/2005,15:39:06.86,
TP,D,45.179173,4.6387332,08/23/2005,15:39:29.829,
TP,D,45.1790175,4.6381358,08/23/2005,15:39:51.851,
TP,D,45.1788947,4.6375252,08/23/2005,15:40:14.814,
TP,D,45.1786746,4.6369489,08/23/2005,15:40:34.834,
TP,D,45.1783918,4.6364349,08/23/2005,15:40:47.847,
TP,D,45.1781717,4.6358662,08/23/2005,15:40:59.859,
TP,D,45.1778664,4.6351585,08/23/2005,15:41:09.89,
TP,D,45.1774999,4.6345872,08/23/2005,15:41:19.819,
