0,27.85049,-82.49305,MACDILL
1,27.84906,-82.49258,MACDILL PK NAIL
2,27.84604,-82.48745,BEAVER
3,27.85049,-82.49305,CARTER
4,27.87861,-82.58639,188 FLHD
5,27.81962,-82.60658,BRIGHTWATER E
6,27.82113,-82.60179,BRIGHTWATER D
7,27.82098,-82.60052,BRIGHTWATER C
8,27.81919,-82.59823,BRIGHTWATER B AZ MK 2
9,27.81850,-82.59673,BRIGHTWATER B
10,27.93168,-82.42910,BRIDGE 2
11,27.93139,-82.42889,BRIDGE 2 RM 3
12,27.87694,-82.58806,GANDY RM 2
13,27.87694,-82.58806,GANDY RM 4
14,27.93139,-82.42889,BRIDGE 2 RM 4
15,27.93169,-82.42927,H 261 RESET
