lat,lon,name
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
0,0,wp
